paper_id,file_name,num_pages,num_words
2022_18_article,2022_18_article.pdf,12,9626
2022_19_article,2022_19_article.pdf,9,6375
2022_20_article,2022_20_article.pdf,11,8359
2022_21_article,2022_21_article.pdf,10,3986
2022_22_article,2022_22_article.pdf,9,6375
2022_23_article,2022_23_article.pdf,7,6337
2022_24_article,2022_24_article.pdf,10,7823
2022_25_article,2022_25_article.pdf,11,7779
2022_26_article,2022_26_article.pdf,10,8364
2022_27_article,2022_27_article.pdf,31,13529
2022_28_article,2022_28_article.pdf,9,6375
2022_29_article,2022_29_article.pdf,7,6126
2022_30_article,2022_30_article.pdf,18,9800
2022_31_article,2022_31_article.pdf,11,8695
2022_32_article,2022_32_article.pdf,10,7823
2022_33_article,2022_33_article.pdf,11,7264
2022_34_article,2022_34_article.pdf,12,7922
2022_35_article,2022_35_article.pdf,17,7330
2022_36_article,2022_36_article.pdf,12,9380
2022_37_article,2022_37_article.pdf,10,7449
2022_38_article,2022_38_article.pdf,34,22917
2022_39_article,2022_39_article.pdf,10,7803
2022_40_article,2022_40_article.pdf,16,10258
2022_41_article,2022_41_article.pdf,10,7454
2022_42_article,2022_42_article.pdf,10,3986
2022_43_article,2022_43_article.pdf,13,7854
2022_44_article,2022_44_article.pdf,10,7366
2022_45_article,2022_45_article.pdf,8,4079
2022_46_article,2022_46_article.pdf,9,6723
2022_47_article,2022_47_article.pdf,7,6209
2022_48_article,2022_48_article.pdf,10,7463
2022_49_article,2022_49_article.pdf,5,5906
2022_50_article,2022_50_article.pdf,12,7207
2022_51_article,2022_51_article.pdf,11,12637
2022_52_article,2022_52_article.pdf,4,4285
2022_53_article,2022_53_article.pdf,15,14354
2022_54_article,2022_54_article.pdf,16,13896
2023_01_article,2023_01_article.pdf,4,4753
2023_02_article,2023_02_article.pdf,30,17498
2023_03_article,2023_03_article.pdf,51,27012
2023_04_article,2023_04_article.pdf,8,6448
2023_06_article,2023_06_article.pdf,11,8092
2023_07_article,2023_07_article.pdf,11,6436
2023_08_article,2023_08_article.pdf,30,16170
2023_09_article,2023_09_article.pdf,16,10655
2023_10_article,2023_10_article.pdf,12,6672
2023_11_article,2023_11_article.pdf,14,6973
2023_12_article,2023_12_article.pdf,11,8738
2023_13_article,2023_13_article.pdf,10,5939
2023_14_article,2023_14_article.pdf,16,7355
2023_15_article,2023_15_article.pdf,30,16170
2023_16_article,2023_16_article.pdf,10,7403
2023_17_article,2023_17_article.pdf,24,14733
2023_18_article,2023_18_article.pdf,17,8936
2023_19_article,2023_19_article.pdf,30,18378
2023_20_article,2023_20_article.pdf,30,16170
2023_21_article,2023_21_article.pdf,12,7846
2023_22_article,2023_22_article.pdf,24,14733
2023_23_article,2023_23_article.pdf,24,5971
2023_24_article,2023_24_article.pdf,13,12237
2023_25_article,2023_25_article.pdf,10,8355
2023_26_article,2023_26_article.pdf,11,7792
2023_27_article,2023_27_article.pdf,17,10247
2023_28_article,2023_28_article.pdf,30,16170
2023_29_article,2023_29_article.pdf,11,8974
2023_30_article,2023_30_article.pdf,15,10640
2023_31_article,2023_31_article.pdf,10,8394
2023_32_article,2023_32_article.pdf,30,18370
2023_33_article,2023_33_article.pdf,16,7363
2023_34_article,2023_34_article.pdf,19,8926
2023_35_article,2023_35_article.pdf,21,7760
2023_36_article,2023_36_article.pdf,9,6535
2023_37_article,2023_37_article.pdf,10,7275
2023_38_article,2023_38_article.pdf,19,13576
2023_39_article,2023_39_article.pdf,11,9228
2023_40_article,2023_40_article.pdf,10,8355
2023_41_article,2023_41_article.pdf,18,10512
2023_42_article,2023_42_article.pdf,10,8394
2023_43_article,2023_43_article.pdf,10,8394
